"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testCompareLineSets_Identical()","","Thu Nov 06 14:36:49 UTC 2025","passed","Thu Nov 06 14:36:49 UTC 2025","","org.example.ValidatorCLITest","org.example.ValidatorCLITest","testCompareLineSets_Identical"
"","4","compareCsvFiles_identical()","","Thu Nov 06 14:36:49 UTC 2025","passed","Thu Nov 06 14:36:49 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","compareCsvFiles_identical"
"","9","testCompareLineSets_MissingLine()","","Thu Nov 06 14:36:49 UTC 2025","passed","Thu Nov 06 14:36:49 UTC 2025","","org.example.ValidatorCLITest","org.example.ValidatorCLITest","testCompareLineSets_MissingLine"
"","53","compareDocxFiles_different()","","Thu Nov 06 14:36:49 UTC 2025","passed","Thu Nov 06 14:36:49 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","compareDocxFiles_different"
"","571","analyzePostmanJson_noTestsNoVars()","","Thu Nov 06 14:36:47 UTC 2025","passed","Thu Nov 06 14:36:48 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","analyzePostmanJson_noTestsNoVars"
"","3","compareCsvFiles_missingAndExtra()","","Thu Nov 06 14:36:49 UTC 2025","passed","Thu Nov 06 14:36:49 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","compareCsvFiles_missingAndExtra"
"","5","analyzePostmanJson_invalidJson()","","Thu Nov 06 14:36:49 UTC 2025","passed","Thu Nov 06 14:36:49 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","analyzePostmanJson_invalidJson"
"","1447","compareDocxFiles_identical()","","Thu Nov 06 14:36:48 UTC 2025","passed","Thu Nov 06 14:36:49 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","compareDocxFiles_identical"
"","3","analyzePostmanJson_validWithTestsAndVars()","","Thu Nov 06 14:36:49 UTC 2025","passed","Thu Nov 06 14:36:49 UTC 2025","","org.example.ValidatorTest","org.example.ValidatorTest","analyzePostmanJson_validWithTestsAndVars"
